"scenario","rule","stopped","rep_n_per_slice","target_n","total_evals","premature_stop","missed_new_types_200","true_missing","Mhat","N_err","max_U95"
"near_threshold_long_tail","dual_rule",0.0166666666666667,1495.25,1495.25,7476.25,0,0.696666666666667,0.0174413396815763,0.0177903705256716,375.383333333333,0.0144021799901653
"safe_long_tail","dual_rule",0.82,1138.83333333333,1138.83333333333,5694.16666666667,0.0366666666666667,1.59666666666667,0.040460209506895,0.0391956564330844,284.936666666667,0.00935491716464399
"safe_short_tail","dual_rule",0.863333333333333,947.416666666667,947.416666666667,4737.08333333333,0,0.133333333333333,0.00384592217330091,0.00371205219543678,238.333333333333,0.0100022499453331
"unsafe_long_tail","dual_rule",0,1500,1500,7500,0,0.613333333333333,0.0172761487823477,0.0174249571652442,376.413333333333,0.0227738795543876
"near_threshold_long_tail","fixed_budget",1,300,300,1500,1,9.30333333333333,0.238141842116843,0.245049720731053,74.81,0.0275019886640898
"safe_long_tail","fixed_budget",1,300,300,1500,1,9.08,0.234957504611522,0.247260420608752,74.56,0.0205645451364198
"safe_short_tail","fixed_budget",1,300,300,1500,0.0133333333333333,0.936666666666667,0.031110597970411,0.0295657395610461,75.5133333333333,0.0197778835032533
"unsafe_long_tail","fixed_budget",1,300,300,1500,1,9.18333333333333,0.241186591743695,0.240545595505881,74.9566666666667,0.0391753534092358
"near_threshold_long_tail","rate_only",0.0366666666666667,1486.66666666667,1486.66666666667,7433.33333333333,0.00333333333333333,0.81,0.018519865623568,0.0187101575929102,371.666666666667,0.0142522823525972
"safe_long_tail","rate_only",0.86,926.916666666667,926.916666666667,4634.58333333333,0.233333333333333,2.85333333333333,0.0708056427631964,0.0740965583368466,231.623333333333,0.0100832744517645
"safe_short_tail","rate_only",0.846666666666667,924.916666666667,924.916666666667,4624.58333333333,0,0.17,0.00489450520463319,0.00458660453531038,231.8,0.0101426192794634
"unsafe_long_tail","rate_only",0,1500,1500,7500,0,0.786666666666667,0.018191525050898,0.018032775140759,375.596666666667,0.023212816810299
"near_threshold_long_tail","recent_novelty",1,847.583333333333,847.583333333333,4237.91666666667,0.22,2.97666666666667,0.0736258868429552,0.0677749152315382,212.146666666667,0.0177764966424408
"safe_long_tail","recent_novelty",1,857.916666666667,857.916666666667,4289.58333333333,0.21,2.93333333333333,0.0709513499527852,0.065262546561624,213.49,0.0111412998319217
"safe_short_tail","recent_novelty",1,359.25,359.25,1796.25,0.00999999999999999,0.783333333333333,0.0262995483134011,0.0204256273856255,88.8533333333333,0.0186452319736071
"unsafe_long_tail","recent_novelty",1,871.916666666667,871.916666666667,4359.58333333333,1,2.83,0.069829042438989,0.0650271314526355,218.326666666667,0.0269595135957888
